集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2021,18,福井県,K,不動産業，物品賃貸業,55～59歳,32.78,83.24,476.6
2021,18,福井県,K,不動産業，物品賃貸業,60～64歳,24.88,46.73,345.29
2021,18,福井県,K,不動産業，物品賃貸業,65～69歳,19.11,9.08,238.4
2021,18,福井県,K,不動産業，物品賃貸業,70歳～,17.18,9.06,215.22
2021,18,福井県,L,学術研究，専門・技術サービス業,年齢計,31.01,110.33,482.45
2021,18,福井県,L,学術研究，専門・技術サービス業,～19歳,16.84,33.71,235.79
2021,18,福井県,L,学術研究，専門・技術サービス業,20～24歳,19.99,53.28,293.16
2021,18,福井県,L,学術研究，専門・技術サービス業,25～29歳,22.71,74.14,346.66
2021,18,福井県,L,学術研究，専門・技術サービス業,30～34歳,26.65,90.42,410.22
2021,18,福井県,L,学術研究，専門・技術サービス業,35～39歳,28.37,104.15,444.59
2021,18,福井県,L,学術研究，専門・技術サービス業,40～44歳,32.68,113.34,505.5
2021,18,福井県,L,学術研究，専門・技術サービス業,45～49歳,36.13,132.4,565.96
2021,18,福井県,L,学術研究，専門・技術サービス業,50～54歳,39.73,149.47,626.23
2021,18,福井県,L,学術研究，専門・技術サービス業,55～59歳,44.08,190.71,719.67
2021,18,福井県,L,学術研究，専門・技術サービス業,60～64歳,28.24,94.39,433.27
2021,18,福井県,L,学術研究，専門・技術サービス業,65～69歳,27.01,99.48,423.6
2021,18,福井県,L,学術研究，専門・技術サービス業,70歳～,24.27,17.03,308.27
2021,18,福井県,M,宿泊業，飲食サービス業,年齢計,20.84,17.93,268.01
2021,18,福井県,M,宿泊業，飲食サービス業,～19歳,16.61,0,199.32
2021,18,福井県,M,宿泊業，飲食サービス業,20～24歳,17.1,12.41,217.61
2021,18,福井県,M,宿泊業，飲食サービス業,25～29歳,19.94,24.86,264.14
2021,18,福井県,M,宿泊業，飲食サービス業,30～34歳,21.78,27.79,289.15
2021,18,福井県,M,宿泊業，飲食サービス業,35～39歳,21.39,17.57,274.25
2021,18,福井県,M,宿泊業，飲食サービス業,40～44歳,22.8,25.89,299.49
2021,18,福井県,M,宿泊業，飲食サービス業,45～49歳,21.85,22.66,284.86
2021,18,福井県,M,宿泊業，飲食サービス業,50～54歳,22.06,12.93,277.65
2021,18,福井県,M,宿泊業，飲食サービス業,55～59歳,23.72,23.85,308.49
2021,18,福井県,M,宿泊業，飲食サービス業,60～64歳,19.12,4.5,233.94
2021,18,福井県,M,宿泊業，飲食サービス業,65～69歳,16.42,4.64,201.68
2021,18,福井県,M,宿泊業，飲食サービス業,70歳～,17.59,5.98,217.06
2021,18,福井県,N,生活関連サービス業，娯楽業,年齢計,24.83,21.99,319.95
2021,18,福井県,N,生活関連サービス業，娯楽業,～19歳,17.54,27.85,238.33
2021,18,福井県,N,生活関連サービス業，娯楽業,20～24歳,18.62,5.18,228.62
2021,18,福井県,N,生活関連サービス業，娯楽業,25～29歳,21.49,18.72,276.6
2021,18,福井県,N,生活関連サービス業，娯楽業,30～34歳,26.32,21.32,337.16
2021,18,福井県,N,生活関連サービス業，娯楽業,35～39歳,25.2,25.25,327.65
2021,18,福井県,N,生活関連サービス業，娯楽業,40～44歳,29.84,26.5,384.58
2021,18,福井県,N,生活関連サービス業，娯楽業,45～49歳,27.38,32.97,361.53
2021,18,福井県,N,生活関連サービス業，娯楽業,50～54歳,27.2,29.14,355.54
2021,18,福井県,N,生活関連サービス業，娯楽業,55～59歳,28.96,30.66,378.18
2021,18,福井県,N,生活関連サービス業，娯楽業,60～64歳,25.94,27.13,338.41
2021,18,福井県,N,生活関連サービス業，娯楽業,65～69歳,22.95,16.5,291.9
2021,18,福井県,N,生活関連サービス業，娯楽業,70歳～,14.36,15.01,187.33
2021,18,福井県,O,教育，学習支援業,年齢計,33.85,116.34,522.54
2021,18,福井県,O,教育，学習支援業,～19歳,19.08,30.09,259.05
2021,18,福井県,O,教育，学習支援業,20～24歳,21.63,45.62,305.18
2021,18,福井県,O,教育，学習支援業,25～29歳,24.94,76.3,375.58
2021,18,福井県,O,教育，学習支援業,30～34歳,28.74,81.99,426.87
2021,18,福井県,O,教育，学習支援業,35～39歳,34.28,102.8,514.16
2021,18,福井県,O,教育，学習支援業,40～44歳,35.72,117.55,546.19
2021,18,福井県,O,教育，学習支援業,45～49歳,35.79,133.7,563.18
2021,18,福井県,O,教育，学習支援業,50～54歳,40.22,146.95,629.59
2021,18,福井県,O,教育，学習支援業,55～59歳,44.05,182.76,711.36
2021,18,福井県,O,教育，学習支援業,60～64歳,41.44,172.93,670.21
2021,18,福井県,O,教育，学習支援業,65～69歳,33.04,91.06,487.54
2021,18,福井県,O,教育，学習支援業,70歳～,20.58,2.52,249.48
2021,18,福井県,P,医療，福祉,年齢計,27.18,93.94,420.1
2021,18,福井県,P,医療，福祉,～19歳,15.65,43.9,231.7
2021,18,福井県,P,医療，福祉,20～24歳,20.4,44.02,288.82
2021,18,福井県,P,医療，福祉,25～29歳,23.63,82.88,366.44
2021,18,福井県,P,医療，福祉,30～34歳,25.12,91.76,393.2
2021,18,福井県,P,医療，福祉,35～39歳,26.36,94.56,410.88
2021,18,福井県,P,医療，福祉,40～44歳,27.24,107.14,434.02
2021,18,福井県,P,医療，福祉,45～49歳,28.03,99.02,435.38
2021,18,福井県,P,医療，福祉,50～54歳,29.17,99.72,449.76
2021,18,福井県,P,医療，福祉,55～59歳,31.81,114.53,496.25
2021,18,福井県,P,医療，福祉,60～64歳,27.23,83.02,409.78
2021,18,福井県,P,医療，福祉,65～69歳,25.26,52.78,355.9
2021,18,福井県,P,医療，福祉,70歳～,54.43,73.16,726.32
2021,18,福井県,Q,複合サービス事業,年齢計,28.26,77.12,416.24
2021,18,福井県,Q,複合サービス事業,～19歳,19.96,29.25,268.77
2021,18,福井県,Q,複合サービス事業,20～24歳,18.99,38.54,266.42
2021,18,福井県,Q,複合サービス事業,25～29歳,20.52,47.02,293.26
2021,18,福井県,Q,複合サービス事業,30～34歳,24.25,72.01,363.01
2021,18,福井県,Q,複合サービス事業,35～39歳,27.55,84.14,414.74
2021,18,福井県,Q,複合サービス事業,40～44歳,28.62,79.56,423
2021,18,福井県,Q,複合サービス事業,45～49歳,31.9,94.22,477.02
2021,18,福井県,Q,複合サービス事業,50～54歳,34.75,105.96,522.96
2021,18,福井県,Q,複合サービス事業,55～59歳,35.14,89.5,511.18
2021,18,福井県,Q,複合サービス事業,60～64歳,25.41,57.6,362.52
2021,18,福井県,Q,複合サービス事業,65～69歳,15.71,9.39,197.91
2021,18,福井県,Q,複合サービス事業,70歳～,15.24,6.5,189.38
2021,18,福井県,R,サービス業（他に分類されないもの）,年齢計,25.79,51.72,361.2
2021,18,福井県,R,サービス業（他に分類されないもの）,～19歳,16.47,15.49,213.13
2021,18,福井県,R,サービス業（他に分類されないもの）,20～24歳,19.45,34.67,268.07
2021,18,福井県,R,サービス業（他に分類されないもの）,25～29歳,22.76,53.7,326.82
2021,18,福井県,R,サービス業（他に分類されないもの）,30～34歳,24.34,40.99,333.07
2021,18,福井県,R,サービス業（他に分類されないもの）,35～39歳,26.5,67.23,385.23
2021,18,福井県,R,サービス業（他に分類されないもの）,40～44歳,28.45,65.52,406.92
2021,18,福井県,R,サービス業（他に分類されないもの）,45～49歳,28.13,63.21,400.77
2021,18,福井県,R,サービス業（他に分類されないもの）,50～54歳,29.08,58.55,407.51
2021,18,福井県,R,サービス業（他に分類されないもの）,55～59歳,28.11,56.3,393.62
2021,18,福井県,R,サービス業（他に分類されないもの）,60～64歳,22.7,35.32,307.72
2021,18,福井県,R,サービス業（他に分類されないもの）,65～69歳,20.6,15.45,262.65
2021,18,福井県,R,サービス業（他に分類されないもの）,70歳～,16.55,9.92,208.52
2021,19,山梨県,C,鉱業，採石業，砂利採取業,年齢計,30.99,81.94,453.82
2021,19,山梨県,C,鉱業，採石業，砂利採取業,～19歳,-,-,-
2021,19,山梨県,C,鉱業，採石業，砂利採取業,20～24歳,-,-,-
2021,19,山梨県,C,鉱業，採石業，砂利採取業,25～29歳,29.24,100.07,450.95
2021,19,山梨県,C,鉱業，採石業，砂利採取業,30～34歳,27.61,54.61,385.93
2021,19,山梨県,C,鉱業，採石業，砂利採取業,35～39歳,31.05,35.41,408.01
2021,19,山梨県,C,鉱業，採石業，砂利採取業,40～44歳,32.95,72.74,468.14
2021,19,山梨県,C,鉱業，採石業，砂利採取業,45～49歳,29.91,92.74,451.66
2021,19,山梨県,C,鉱業，採石業，砂利採取業,50～54歳,30.7,118.54,486.94
2021,19,山梨県,C,鉱業，採石業，砂利採取業,55～59歳,36.32,81.95,517.79
2021,19,山梨県,C,鉱業，採石業，砂利採取業,60～64歳,41.51,44,542.12
2021,19,山梨県,C,鉱業，採石業，砂利採取業,65～69歳,27.91,0,334.92
2021,19,山梨県,C,鉱業，採石業，砂利採取業,70歳～,23.34,0,280.08
2021,19,山梨県,D,建設業,年齢計,34.93,93.77,512.93
2021,19,山梨県,D,建設業,～19歳,17.79,8.64,222.12
2021,19,山梨県,D,建設業,20～24歳,21.02,44.06,296.3
2021,19,山梨県,D,建設業,25～29歳,26.04,98.31,410.79
2021,19,山梨県,D,建設業,30～34歳,29.7,103.95,460.35
2021,19,山梨県,D,建設業,35～39歳,37.22,99.75,546.39
2021,19,山梨県,D,建設業,40～44歳,33.31,92.34,492.06
2021,19,山梨県,D,建設業,45～49歳,38.67,110.96,575
2021,19,山梨県,D,建設業,50～54歳,40.61,136.01,623.33
2021,19,山梨県,D,建設業,55～59歳,39.89,131.29,609.97
2021,19,山梨県,D,建設業,60～64歳,35.6,51.11,478.31
2021,19,山梨県,D,建設業,65～69歳,34.62,29.54,444.98
2021,19,山梨県,D,建設業,70歳～,31.71,10.11,390.63
2021,19,山梨県,E,製造業,年齢計,29.12,92.94,442.38
2021,19,山梨県,E,製造業,～19歳,17.95,15.91,231.31
2021,19,山梨県,E,製造業,20～24歳,20.66,40.43,288.35
2021,19,山梨県,E,製造業,25～29歳,23.55,75.16,357.76
2021,19,山梨県,E,製造業,30～34歳,25.48,81.31,387.07
2021,19,山梨県,E,製造業,35～39歳,27.74,85.3,418.18
2021,19,山梨県,E,製造業,40～44歳,29.77,100.42,457.66
2021,19,山梨県,E,製造業,45～49歳,33.07,113.33,510.17
2021,19,山梨県,E,製造業,50～54歳,33.17,112.17,510.21
2021,19,山梨県,E,製造業,55～59歳,34.99,123.01,542.89
2021,19,山梨県,E,製造業,60～64歳,27.67,85.52,417.56
2021,19,山梨県,E,製造業,65～69歳,20.24,11.83,254.71
2021,19,山梨県,E,製造業,70歳～,21.91,20.75,283.67
2021,19,山梨県,F,電気・ガス・熱供給・水道業,年齢計,44.6,41,576.2
2021,19,山梨県,F,電気・ガス・熱供給・水道業,～19歳,20.48,12.18,257.94
2021,19,山梨県,F,電気・ガス・熱供給・水道業,20～24歳,22.49,35,304.88
2021,19,山梨県,F,電気・ガス・熱供給・水道業,25～29歳,29.25,42.32,393.32
2021,19,山梨県,F,電気・ガス・熱供給・水道業,30～34歳,31,72.25,444.25
2021,19,山梨県,F,電気・ガス・熱供給・水道業,35～39歳,39.54,40.2,514.68
2021,19,山梨県,F,電気・ガス・熱供給・水道業,40～44歳,44.97,46.04,585.68
2021,19,山梨県,F,電気・ガス・熱供給・水道業,45～49歳,48.89,39.76,626.44
2021,19,山梨県,F,電気・ガス・熱供給・水道業,50～54歳,53.36,28.04,668.36
2021,19,山梨県,F,電気・ガス・熱供給・水道業,55～59歳,50.33,45.13,649.09
2021,19,山梨県,F,電気・ガス・熱供給・水道業,60～64歳,29.38,58.63,411.19
2021,19,山梨県,F,電気・ガス・熱供給・水道業,65～69歳,19.44,5,238.28
2021,19,山梨県,F,電気・ガス・熱供給・水道業,70歳～,-,-,-
2021,19,山梨県,G,情報通信業,年齢計,33.62,116.68,520.12
2021,19,山梨県,G,情報通信業,～19歳,18.07,73.97,290.81
2021,19,山梨県,G,情報通信業,20～24歳,21.27,52.3,307.54
2021,19,山梨県,G,情報通信業,25～29歳,23.09,94.69,371.77
2021,19,山梨県,G,情報通信業,30～34歳,26.46,115.87,433.39
2021,19,山梨県,G,情報通信業,35～39歳,33.69,114.19,518.47
2021,19,山梨県,G,情報通信業,40～44歳,35.22,126.85,549.49
2021,19,山梨県,G,情報通信業,45～49歳,37.42,129.96,579
2021,19,山梨県,G,情報通信業,50～54歳,41.55,147.52,646.12
2021,19,山梨県,G,情報通信業,55～59歳,41.96,155.08,658.6
2021,19,山梨県,G,情報通信業,60～64歳,29.93,31.84,391
2021,19,山梨県,G,情報通信業,65～69歳,19.13,6.87,236.43
2021,19,山梨県,G,情報通信業,70歳～,-,-,-
2021,19,山梨県,H,運輸業，郵便業,年齢計,27.45,46.55,375.95
2021,19,山梨県,H,運輸業，郵便業,～19歳,16.89,6.01,208.69
2021,19,山梨県,H,運輸業，郵便業,20～24歳,18.79,25.31,250.79
2021,19,山梨県,H,運輸業，郵便業,25～29歳,23.16,45.79,323.71
2021,19,山梨県,H,運輸業，郵便業,30～34歳,30.72,63.38,432.02
2021,19,山梨県,H,運輸業，郵便業,35～39歳,26.49,48.12,366
2021,19,山梨県,H,運輸業，郵便業,40～44歳,28.37,56.27,396.71
2021,19,山梨県,H,運輸業，郵便業,45～49歳,28.56,42.39,385.11
2021,19,山梨県,H,運輸業，郵便業,50～54歳,28.5,52.54,394.54
2021,19,山梨県,H,運輸業，郵便業,55～59歳,29.95,53.9,413.3
2021,19,山梨県,H,運輸業，郵便業,60～64歳,24.94,37.47,336.75
2021,19,山梨県,H,運輸業，郵便業,65～69歳,25.39,11.74,316.42
2021,19,山梨県,H,運輸業，郵便業,70歳～,17.76,13.54,226.66
2021,19,山梨県,I,卸売業，小売業,年齢計,25.93,52.33,363.49
2021,19,山梨県,I,卸売業，小売業,～19歳,16.91,14.75,217.67
2021,19,山梨県,I,卸売業，小売業,20～24歳,20.01,27.26,267.38
2021,19,山梨県,I,卸売業，小売業,25～29歳,22.09,42.69,307.77
2021,19,山梨県,I,卸売業，小売業,30～34歳,24.39,55.84,348.52
2021,19,山梨県,I,卸売業，小売業,35～39歳,26.16,62.16,376.08
2021,19,山梨県,I,卸売業，小売業,40～44歳,27.99,58.92,394.8
2021,19,山梨県,I,卸売業，小売業,45～49歳,29.07,69.52,418.36
2021,19,山梨県,I,卸売業，小売業,50～54歳,29.74,67.08,423.96
2021,19,山梨県,I,卸売業，小売業,55～59歳,26.88,42.49,365.05
2021,19,山梨県,I,卸売業，小売業,60～64歳,25.16,40.33,342.25
2021,19,山梨県,I,卸売業，小売業,65～69歳,23.23,16.85,295.61
2021,19,山梨県,I,卸売業，小売業,70歳～,28.48,10.15,351.91
2021,19,山梨県,J,金融業，保険業,年齢計,34.21,112.98,523.5
2021,19,山梨県,J,金融業，保険業,～19歳,16.44,17.28,214.56
2021,19,山梨県,J,金融業，保険業,20～24歳,21.31,43.8,299.52
2021,19,山梨県,J,金融業，保険業,25～29歳,27.91,80.07,414.99
2021,19,山梨県,J,金融業，保険業,30～34歳,27.67,103.45,435.49
2021,19,山梨県,J,金融業，保険業,35～39歳,35.99,128.27,560.15
2021,19,山梨県,J,金融業，保険業,40～44歳,36.54,142.1,580.58
2021,19,山梨県,J,金融業，保険業,45～49歳,41.37,138.82,635.26
2021,19,山梨県,J,金融業，保険業,50～54歳,43.7,182.56,706.96
2021,19,山梨県,J,金融業，保険業,55～59歳,40.67,108.91,596.95
2021,19,山梨県,J,金融業，保険業,60～64歳,29.4,40.14,392.94
2021,19,山梨県,J,金融業，保険業,65～69歳,17.85,17.89,232.09
2021,19,山梨県,J,金融業，保険業,70歳～,-,-,-
2021,19,山梨県,K,不動産業，物品賃貸業,年齢計,27.56,75.64,406.36
2021,19,山梨県,K,不動産業，物品賃貸業,～19歳,18.56,0,222.72
2021,19,山梨県,K,不動産業，物品賃貸業,20～24歳,19.97,46.18,285.82
2021,19,山梨県,K,不動産業，物品賃貸業,25～29歳,21.72,77.11,337.75
2021,19,山梨県,K,不動産業，物品賃貸業,30～34歳,23.32,71.27,351.11
2021,19,山梨県,K,不動産業，物品賃貸業,35～39歳,28.02,86.55,422.79
2021,19,山梨県,K,不動産業，物品賃貸業,40～44歳,28.81,89.22,434.94
2021,19,山梨県,K,不動産業，物品賃貸業,45～49歳,31.19,97.75,472.03
2021,19,山梨県,K,不動産業，物品賃貸業,50～54歳,33.13,79.78,477.34
2021,19,山梨県,K,不動産業，物品賃貸業,55～59歳,37.64,67.79,519.47
2021,19,山梨県,K,不動産業，物品賃貸業,60～64歳,24.24,33.97,324.85
2021,19,山梨県,K,不動産業，物品賃貸業,65～69歳,23.15,26.5,304.3
2021,19,山梨県,K,不動産業，物品賃貸業,70歳～,19.29,6.55,238.03
2021,19,山梨県,L,学術研究，専門・技術サービス業,年齢計,32,108.39,492.39
2021,19,山梨県,L,学術研究，専門・技術サービス業,～19歳,19.14,17.43,247.11
2021,19,山梨県,L,学術研究，専門・技術サービス業,20～24歳,19.58,43.85,278.81
2021,19,山梨県,L,学術研究，専門・技術サービス業,25～29歳,21.1,59.72,312.92
2021,19,山梨県,L,学術研究，専門・技術サービス業,30～34歳,25.45,84.61,390.01
2021,19,山梨県,L,学術研究，専門・技術サービス業,35～39歳,31.86,137.18,519.5
2021,19,山梨県,L,学術研究，専門・技術サービス業,40～44歳,30.76,96.02,465.14
2021,19,山梨県,L,学術研究，専門・技術サービス業,45～49歳,34.19,135.87,546.15
2021,19,山梨県,L,学術研究，専門・技術サービス業,50～54歳,38.19,135.12,593.4
2021,19,山梨県,L,学術研究，専門・技術サービス業,55～59歳,38.41,142.67,603.59
2021,19,山梨県,L,学術研究，専門・技術サービス業,60～64歳,37.08,50.49,495.45
2021,19,山梨県,L,学術研究，専門・技術サービス業,65～69歳,19.1,1.39,230.59
2021,19,山梨県,L,学術研究，専門・技術サービス業,70歳～,16.07,1.5,194.34
2021,19,山梨県,M,宿泊業，飲食サービス業,年齢計,23.07,26.99,303.83
2021,19,山梨県,M,宿泊業，飲食サービス業,～19歳,-,-,-
2021,19,山梨県,M,宿泊業，飲食サービス業,20～24歳,19.05,19.13,247.73
2021,19,山梨県,M,宿泊業，飲食サービス業,25～29歳,21.52,26.54,284.78
2021,19,山梨県,M,宿泊業，飲食サービス業,30～34歳,21.82,29.43,291.27
2021,19,山梨県,M,宿泊業，飲食サービス業,35～39歳,23.88,19.42,305.98
2021,19,山梨県,M,宿泊業，飲食サービス業,40～44歳,24.15,30.11,319.91
2021,19,山梨県,M,宿泊業，飲食サービス業,45～49歳,25.17,38.67,340.71
2021,19,山梨県,M,宿泊業，飲食サービス業,50～54歳,22.62,27.77,299.21
2021,19,山梨県,M,宿泊業，飲食サービス業,55～59歳,22.32,21.62,289.46
2021,19,山梨県,M,宿泊業，飲食サービス業,60～64歳,23.18,14.87,293.03
2021,19,山梨県,M,宿泊業，飲食サービス業,65～69歳,24.42,31.52,324.56
2021,19,山梨県,M,宿泊業，飲食サービス業,70歳～,18.83,12.93,238.89
2021,19,山梨県,N,生活関連サービス業，娯楽業,年齢計,25.8,34.8,344.4
2021,19,山梨県,N,生活関連サービス業，娯楽業,～19歳,12.24,2.89,149.77
2021,19,山梨県,N,生活関連サービス業，娯楽業,20～24歳,19.58,17.53,252.49
2021,19,山梨県,N,生活関連サービス業，娯楽業,25～29歳,22.27,22.49,289.73
2021,19,山梨県,N,生活関連サービス業，娯楽業,30～34歳,24.15,35.94,325.74
2021,19,山梨県,N,生活関連サービス業，娯楽業,35～39歳,28.48,48.66,390.42
2021,19,山梨県,N,生活関連サービス業，娯楽業,40～44歳,29.3,43.39,394.99
2021,19,山梨県,N,生活関連サービス業，娯楽業,45～49歳,30.17,50.81,412.85
2021,19,山梨県,N,生活関連サービス業，娯楽業,50～54歳,28.56,40.83,383.55
2021,19,山梨県,N,生活関連サービス業，娯楽業,55～59歳,24.42,23.55,316.59
2021,19,山梨県,N,生活関連サービス業，娯楽業,60～64歳,25.29,24.19,327.67
2021,19,山梨県,N,生活関連サービス業，娯楽業,65～69歳,17.42,6.01,215.05
2021,19,山梨県,N,生活関連サービス業，娯楽業,70歳～,26.2,15.64,330.04
2021,19,山梨県,O,教育，学習支援業,年齢計,34.61,92.98,508.3
2021,19,山梨県,O,教育，学習支援業,～19歳,-,-,-
2021,19,山梨県,O,教育，学習支援業,20～24歳,19.97,29.99,269.63
2021,19,山梨県,O,教育，学習支援業,25～29歳,25.08,53.01,353.97
2021,19,山梨県,O,教育，学習支援業,30～34歳,30.55,60.35,426.95
2021,19,山梨県,O,教育，学習支援業,35～39歳,32.8,77.41,471.01
2021,19,山梨県,O,教育，学習支援業,40～44歳,34.75,87.76,504.76
2021,19,山梨県,O,教育，学習支援業,45～49歳,33.88,107.45,514.01
2021,19,山梨県,O,教育，学習支援業,50～54歳,40.02,114.77,595.01
2021,19,山梨県,O,教育，学習支援業,55～59歳,45.16,137,678.92
2021,19,山梨県,O,教育，学習支援業,60～64歳,41.27,137.61,632.85
2021,19,山梨県,O,教育，学習支援業,65～69歳,32.62,81.99,473.43
2021,19,山梨県,O,教育，学習支援業,70歳～,25.39,39.01,343.69
2021,19,山梨県,P,医療，福祉,年齢計,27.13,72.53,398.09
2021,19,山梨県,P,医療，福祉,～19歳,19.55,0,234.6
2021,19,山梨県,P,医療，福祉,20～24歳,21.9,43.49,306.29
2021,19,山梨県,P,医療，福祉,25～29歳,24.52,63.51,357.75
2021,19,山梨県,P,医療，福祉,30～34歳,24.86,75.97,374.29
2021,19,山梨県,P,医療，福祉,35～39歳,27.55,72.32,402.92
2021,19,山梨県,P,医療，福祉,40～44歳,26.47,76.59,394.23
2021,19,山梨県,P,医療，福祉,45～49歳,28.48,76.01,417.77
2021,19,山梨県,P,医療，福祉,50～54歳,27.58,72.92,403.88
2021,19,山梨県,P,医療，福祉,55～59歳,29.69,101.09,457.37
2021,19,山梨県,P,医療，福祉,60～64歳,27.74,68.31,401.19
2021,19,山梨県,P,医療，福祉,65～69歳,24.86,76.35,374.67
2021,19,山梨県,P,医療，福祉,70歳～,59.96,44.75,764.27
2021,19,山梨県,Q,複合サービス事業,年齢計,28.5,77.14,419.14
2021,19,山梨県,Q,複合サービス事業,～19歳,16.76,48.54,249.66
2021,19,山梨県,Q,複合サービス事業,20～24歳,19.23,41.02,271.78
2021,19,山梨県,Q,複合サービス事業,25～29歳,22.42,47.55,316.59
2021,19,山梨県,Q,複合サービス事業,30～34歳,25.09,60.88,361.96
2021,19,山梨県,Q,複合サービス事業,35～39歳,27.65,94.89,426.69
2021,19,山梨県,Q,複合サービス事業,40～44歳,29.85,76.85,435.05
2021,19,山梨県,Q,複合サービス事業,45～49歳,31.67,106.49,486.53
2021,19,山梨県,Q,複合サービス事業,50～54歳,35.07,105.37,526.21
2021,19,山梨県,Q,複合サービス事業,55～59歳,36.67,86.65,526.69
2021,19,山梨県,Q,複合サービス事業,60～64歳,19.55,41.03,275.63
2021,19,山梨県,Q,複合サービス事業,65～69歳,18.98,17.43,245.19
2021,19,山梨県,Q,複合サービス事業,70歳～,-,-,-
2021,19,山梨県,R,サービス業（他に分類されないもの）,年齢計,21.56,28.15,286.87
2021,19,山梨県,R,サービス業（他に分類されないもの）,～19歳,18.16,8.03,225.95
2021,19,山梨県,R,サービス業（他に分類されないもの）,20～24歳,18.33,9.81,229.77
2021,19,山梨県,R,サービス業（他に分類されないもの）,25～29歳,20.07,26.95,267.79
2021,19,山梨県,R,サービス業（他に分類されないもの）,30～34歳,21.97,27.43,291.07
2021,19,山梨県,R,サービス業（他に分類されないもの）,35～39歳,21.67,27.36,287.4
2021,19,山梨県,R,サービス業（他に分類されないもの）,40～44歳,21.44,28.42,285.7
2021,19,山梨県,R,サービス業（他に分類されないもの）,45～49歳,22.71,26.58,299.1
2021,19,山梨県,R,サービス業（他に分類されないもの）,50～54歳,22.13,27.39,292.95
2021,19,山梨県,R,サービス業（他に分類されないもの）,55～59歳,23.48,49.56,331.32
2021,19,山梨県,R,サービス業（他に分類されないもの）,60～64歳,22.3,39.19,306.79
2021,19,山梨県,R,サービス業（他に分類されないもの）,65～69歳,18.85,14.73,240.93
2021,19,山梨県,R,サービス業（他に分類されないもの）,70歳～,17.3,5.17,212.77
2021,20,長野県,C,鉱業，採石業，砂利採取業,年齢計,27.67,30.84,362.88
2021,20,長野県,C,鉱業，採石業，砂利採取業,～19歳,20.83,0,249.96
2021,20,長野県,C,鉱業，採石業，砂利採取業,20～24歳,16.9,10,212.8
2021,20,長野県,C,鉱業，採石業，砂利採取業,25～29歳,21.16,35.35,289.27
2021,20,長野県,C,鉱業，採石業，砂利採取業,30～34歳,26.61,32.97,352.29
2021,20,長野県,C,鉱業，採石業，砂利採取業,35～39歳,28.82,51.49,397.33
2021,20,長野県,C,鉱業，採石業，砂利採取業,40～44歳,29.92,34.71,393.75
2021,20,長野県,C,鉱業，採石業，砂利採取業,45～49歳,26.72,33.22,353.86
2021,20,長野県,C,鉱業，採石業，砂利採取業,50～54歳,29.52,30.94,385.18
2021,20,長野県,C,鉱業，採石業，砂利採取業,55～59歳,29.63,32.32,387.88
2021,20,長野県,C,鉱業，採石業，砂利採取業,60～64歳,30.62,30.25,397.69
2021,20,長野県,C,鉱業，採石業，砂利採取業,65～69歳,22.96,14.31,289.83
2021,20,長野県,C,鉱業，採石業，砂利採取業,70歳～,22.9,27.5,302.3
2021,20,長野県,D,建設業,年齢計,32.29,90.84,478.32
2021,20,長野県,D,建設業,～19歳,17.84,8.89,222.97
2021,20,長野県,D,建設業,20～24歳,21.58,46.68,305.64
2021,20,長野県,D,建設業,25～29歳,24.95,72.12,371.52
2021,20,長野県,D,建設業,30～34歳,28.51,71.64,413.76
2021,20,長野県,D,建設業,35～39歳,32.96,75.94,471.46
2021,20,長野県,D,建設業,40～44歳,30.96,79.79,451.31
2021,20,長野県,D,建設業,45～49歳,35.64,110.83,538.51
2021,20,長野県,D,建設業,50～54歳,34.28,104.86,516.22
2021,20,長野県,D,建設業,55～59歳,38.86,128,594.32
2021,20,長野県,D,建設業,60～64歳,35.16,111.21,533.13
2021,20,長野県,D,建設業,65～69歳,29.41,61.54,414.46
2021,20,長野県,D,建設業,70歳～,37.34,34.56,482.64
2021,20,長野県,E,製造業,年齢計,28.25,84.37,423.37
2021,20,長野県,E,製造業,～19歳,18.49,8.78,230.66
2021,20,長野県,E,製造業,20～24歳,20.12,47.23,288.67
2021,20,長野県,E,製造業,25～29歳,21.94,58.1,321.38
2021,20,長野県,E,製造業,30～34歳,24.63,72.44,368
2021,20,長野県,E,製造業,35～39歳,27.53,85.19,415.55
2021,20,長野県,E,製造業,40～44歳,30.5,100.71,466.71
2021,20,長野県,E,製造業,45～49歳,31.58,102.22,481.18
2021,20,長野県,E,製造業,50～54歳,33.45,105.52,506.92
2021,20,長野県,E,製造業,55～59歳,34.6,110.14,525.34
2021,20,長野県,E,製造業,60～64歳,24.06,57.96,346.68
2021,20,長野県,E,製造業,65～69歳,27.7,56.31,388.71
2021,20,長野県,E,製造業,70歳～,21.71,18.03,278.55
2021,20,長野県,F,電気・ガス・熱供給・水道業,年齢計,42.44,128.68,637.96
2021,20,長野県,F,電気・ガス・熱供給・水道業,～19歳,19.08,40.02,268.98
2021,20,長野県,F,電気・ガス・熱供給・水道業,20～24歳,21.32,62.12,317.96
2021,20,長野県,F,電気・ガス・熱供給・水道業,25～29歳,26.71,97.61,418.13
2021,20,長野県,F,電気・ガス・熱供給・水道業,30～34歳,30.51,101.38,467.5
2021,20,長野県,F,電気・ガス・熱供給・水道業,35～39歳,37.72,104.4,557.04
